V1, V2
A1, A7
A1, A10
A1, A18
A1, A25
A1, A26
A1, A30
A1, A36
A1, A38
A2, A16
A2, A21
A2, A22
A2, A29
A2, A35
A2, A37
A2, A38
A3, A11
A3, A15
A3, A30
A3, A31
A3, A34
A4, A36
A5, A6
A5, A12
A5, A15
A5, A16
A5, A17
A5, A22
A5, A27
A5, A29
A5, A32
A5, A40
A6, A12
A6, A15
A6, A16
A6, A17
A6, A20
A6, A22
A6, A27
A6, A29
A6, A32
A6, A40
A7, A25
A7, A26
A7, A36
A8, A21
A8, A26
A10, A11
A10, A18
A10, A24
A10, A26
A10, A30
A10, A36
A11, A28
A11, A30
A11, A33
A11, A34
A12, A15
A12, A20
A12, A22
A12, A27
A12, A33
A12, A40
A13, A14
A15, A16
A15, A23
A15, A27
A15, A29
A15, A31
A15, A32
A15, A40
A16, A20
A16, A25
A16, A26
A16, A37
A16, A39
A16, A40
A17, A23
A17, A27
A17, A30
A17, A32
A17, A40
A18, A25
A18, A26
A18, A30
A18, A36
A20, A26
A22, A27
A22, A33
A22, A35
A22, A37
A22, A39
A22, A40
A23, A26
A23, A27
A23, A29
A23, A32
A23, A40
A24, A36
A25, A26
